italy ItLoad=21665,ItSolarGen=1 1451602800000000000
italy ItLoad=20260,ItSolarGen=0 1451606400000000000
italy ItLoad=19056,ItSolarGen=0 1451610000000000000
italy ItLoad=18407,ItSolarGen=0 1451613600000000000
italy ItLoad=18425,ItSolarGen=0 1451617200000000000
italy ItLoad=19261,ItSolarGen=0 1451620800000000000
italy ItLoad=19673,ItSolarGen=49 1451624400000000000
italy ItLoad=19927,ItSolarGen=576 1451628000000000000
italy ItLoad=21403,ItSolarGen=1926 1451631600000000000
italy ItLoad=22819,ItSolarGen=3271 1451635200000000000
italy ItLoad=23995,ItSolarGen=4082 1451638800000000000
italy ItLoad=24516,ItSolarGen=4245 1451642400000000000
italy ItLoad=23206,ItSolarGen=3643 1451646000000000000
italy ItLoad=22244,ItSolarGen=2344 1451649600000000000
italy ItLoad=22551,ItSolarGen=1093 1451653200000000000
italy ItLoad=23949,ItSolarGen=101 1451656800000000000
italy ItLoad=27964,ItSolarGen=0 1451660400000000000
italy ItLoad=28978,ItSolarGen=0 1451664000000000000
italy ItLoad=29504,ItSolarGen=0 1451667600000000000
italy ItLoad=29082,ItSolarGen=0 1451671200000000000
italy ItLoad=27681,ItSolarGen=1 1451674800000000000
italy ItLoad=25626,ItSolarGen=1 1451678400000000000
italy ItLoad=23131,ItSolarGen=1 1451682000000000000
italy ItLoad=21420,ItSolarGen=0 1451685600000000000
italy ItLoad=19651,ItSolarGen=0 1451689200000000000
italy ItLoad=18679,ItSolarGen=0 1451692800000000000
italy ItLoad=18264,ItSolarGen=0 1451696400000000000
italy ItLoad=18346,ItSolarGen=0 1451700000000000000
italy ItLoad=19236,ItSolarGen=0 1451703600000000000
italy ItLoad=21300,ItSolarGen=0 1451707200000000000
italy ItLoad=23333,ItSolarGen=26 1451710800000000000
italy ItLoad=25221,ItSolarGen=390 1451714400000000000
italy ItLoad=27697,ItSolarGen=1059 1451718000000000000
italy ItLoad=28637,ItSolarGen=1346 1451721600000000000
italy ItLoad=29080,ItSolarGen=1468 1451725200000000000
italy ItLoad=29077,ItSolarGen=1467 1451728800000000000
italy ItLoad=28364,ItSolarGen=1318 1451732400000000000
italy ItLoad=27879,ItSolarGen=666 1451736000000000000
italy ItLoad=28269,ItSolarGen=319 1451739600000000000
italy ItLoad=29808,ItSolarGen=64 1451743200000000000
italy ItLoad=33054,ItSolarGen=29 1451746800000000000
italy ItLoad=33860,ItSolarGen=29 1451750400000000000
italy ItLoad=33850,ItSolarGen=29 1451754000000000000
italy ItLoad=31760,ItSolarGen=29 1451757600000000000
italy ItLoad=29295,ItSolarGen=29 1451761200000000000
italy ItLoad=26658,ItSolarGen=29 1451764800000000000
italy ItLoad=24332,ItSolarGen=29 1451768400000000000
italy ItLoad=21855,ItSolarGen=0 1451772000000000000
italy ItLoad=20156,ItSolarGen=0 1451775600000000000
italy ItLoad=19200,ItSolarGen=0 1451779200000000000
italy ItLoad=18603,ItSolarGen=0 1451782800000000000
italy ItLoad=18456,ItSolarGen=0 1451786400000000000
italy ItLoad=18917,ItSolarGen=0 1451790000000000000
italy ItLoad=20148,ItSolarGen=0 1451793600000000000
italy ItLoad=21373,ItSolarGen=3 1451797200000000000
italy ItLoad=22696,ItSolarGen=378 1451800800000000000
italy ItLoad=25152,ItSolarGen=1348 1451804400000000000
italy ItLoad=27044,ItSolarGen=2339 1451808000000000000
italy ItLoad=28325,ItSolarGen=3729 1451811600000000000
italy ItLoad=27882,ItSolarGen=3994 1451815200000000000
italy ItLoad=25392,ItSolarGen=2841 1451818800000000000
italy ItLoad=23928,ItSolarGen=1809 1451822400000000000
italy ItLoad=24631,ItSolarGen=975 1451826000000000000
italy ItLoad=25801,ItSolarGen=126 1451829600000000000
italy ItLoad=29654,ItSolarGen=29 1451833200000000000
italy ItLoad=31004,ItSolarGen=29 1451836800000000000
italy ItLoad=31209,ItSolarGen=29 1451840400000000000
italy ItLoad=30520,ItSolarGen=29 1451844000000000000
italy ItLoad=28560,ItSolarGen=29 1451847600000000000
italy ItLoad=26171,ItSolarGen=29 1451851200000000000
italy ItLoad=23920,ItSolarGen=29 1451854800000000000
italy ItLoad=21545,ItSolarGen=1 1451858400000000000
italy ItLoad=19872,ItSolarGen=1 1451862000000000000
italy ItLoad=19023,ItSolarGen=1 1451865600000000000
italy ItLoad=18745,ItSolarGen=1 1451869200000000000
italy ItLoad=19110,ItSolarGen=0 1451872800000000000
italy ItLoad=20513,ItSolarGen=0 1451876400000000000
italy ItLoad=24208,ItSolarGen=0 1451880000000000000
italy ItLoad=28600,ItSolarGen=0 1451883600000000000
italy ItLoad=32670,ItSolarGen=81 1451887200000000000
italy ItLoad=35751,ItSolarGen=466 1451890800000000000
italy ItLoad=36378,ItSolarGen=725 1451894400000000000
italy ItLoad=36854,ItSolarGen=1111 1451898000000000000
italy ItLoad=36044,ItSolarGen=1366 1451901600000000000
italy ItLoad=34932,ItSolarGen=1514 1451905200000000000
italy ItLoad=35279,ItSolarGen=1316 1451908800000000000
italy ItLoad=35761,ItSolarGen=709 1451912400000000000
italy ItLoad=36594,ItSolarGen=118 1451916000000000000
italy ItLoad=39285,ItSolarGen=29 1451919600000000000
italy ItLoad=38952,ItSolarGen=29 1451923200000000000
italy ItLoad=38486,ItSolarGen=29 1451926800000000000
italy ItLoad=36296,ItSolarGen=29 1451930400000000000
italy ItLoad=33679,ItSolarGen=29 1451934000000000000
italy ItLoad=29962,ItSolarGen=29 1451937600000000000
italy ItLoad=26943,ItSolarGen=29 1451941200000000000
italy ItLoad=24179,ItSolarGen=0 1451944800000000000
italy ItLoad=22224,ItSolarGen=0 1451948400000000000
